from,to,support,confidence,lift,count
ICT Management & Consulting,"Creative, Media & Design",2e-04,0.0205,1.1349,134
Data Science & Analytics,Finance & Accounting,0,0.0259,1.1348,38
Sales & Business Development,Project & Programme Management,5e-04,0.0199,1.1282,405
Operations & General Management,Senior Management & C-Suite,2e-04,7e-04,1.1242,173
Cybersecurity & Compliance,Data Science & Analytics,0,0.0023,1.1218,9
Customer Service & Support,Operations & General Management,0.0042,0.3399,1.116,3468
Research & Academia,Social Work & Community Services,0,0.0083,1.114,32
Operations & General Management,Public Sector & Administration,0.0102,0.0332,1.1038,8353
Public Sector & Administration,Operations & General Management,0.0101,0.3358,1.1024,8221
"Environment, Safety & Sustainability",Data Science & Analytics,0,0.0022,1.1016,29
"Retail, Hospitality & Events",Customer Service & Support,0.0016,0.0142,1.1006,1325
Research & Academia,"Creative, Media & Design",1e-04,0.0199,1.0992,77
Healthcare - Nursing & Allied,"Environment, Safety & Sustainability",7e-04,0.0182,1.099,603
Senior Management & C-Suite,"Creative, Media & Design",0,0.0199,1.0975,8
Healthcare - Clinical,"Environment, Safety & Sustainability",1e-04,0.0179,1.0821,86
Human Resources & Recruitment,Marketing & Communications,5e-04,0.0195,1.0818,392
Marketing & Communications,ICT Management & Consulting,2e-04,0.0093,1.0802,127
Social Work & Community Services,Public Sector & Administration,2e-04,0.032,1.0629,178
Social Work & Community Services,Data Science & Analytics,0,0.0022,1.0588,12
Supply Chain & Logistics,Cybersecurity & Compliance,4e-04,0.0056,1.0568,347
Project & Programme Management,"Banking, Finance & Insurance",2e-04,0.0099,1.055,128
Public Sector & Administration,Human Resources & Recruitment,8e-04,0.0281,1.0516,689
"Environment, Safety & Sustainability",Healthcare - Clinical,1e-04,0.0066,1.048,85
Operations & General Management,"Retail, Hospitality & Events",0.0332,0.108,1.048,27138
Marketing & Communications,Legal & Compliance,1e-04,0.0051,1.0478,70
"Retail, Hospitality & Events",Operations & General Management,0.0363,0.3184,1.0455,29615
Project & Programme Management,Public Sector & Administration,5e-04,0.0315,1.0454,406
Research & Academia,ICT Management & Consulting,0,0.009,1.0453,35
Engineering & Manufacturing,Project & Programme Management,0.0018,0.0184,1.0419,1455
Sales & Business Development,ICT Management & Consulting,2e-04,0.009,1.0413,183
Education - Teaching,"Creative, Media & Design",0.0018,0.0188,1.041,1503
"Banking, Finance & Insurance",Software & IT Development,1e-04,0.0114,1.041,85
Senior Management & C-Suite,Operations & General Management,2e-04,0.3151,1.0347,127
Healthcare - Nursing & Allied,Cybersecurity & Compliance,2e-04,0.0054,1.0255,179
Data Science & Analytics,IT Infrastructure & Networks,0,0.0034,1.0245,5
Public Sector & Administration,Social Work & Community Services,2e-04,0.0076,1.0242,186
Data Science & Analytics,"Creative, Media & Design",0,0.0184,1.0189,27
Cybersecurity & Compliance,Construction & Architecture,1e-04,0.0244,1.0173,96
Cybersecurity & Compliance,Human Resources & Recruitment,1e-04,0.0272,1.0154,107
Cybersecurity & Compliance,Supply Chain & Logistics,4e-04,0.0802,1.0133,316
"Environment, Safety & Sustainability",Project & Programme Management,3e-04,0.0179,1.0124,231
Data Science & Analytics,Social Work & Community Services,0,0.0075,1.0123,11
Senior Management & C-Suite,Legal & Compliance,0,0.005,1.0103,2
Construction & Architecture,Supply Chain & Logistics,0.002,0.0799,1.0095,1594
Research & Academia,IT Infrastructure & Networks,0,0.0034,1.0075,13
ICT Management & Consulting,Senior Management & C-Suite,0,6e-04,1.0009,4
Project & Programme Management,IT Infrastructure & Networks,1e-04,0.0033,1.0005,43
Engineering & Manufacturing,Cybersecurity & Compliance,5e-04,0.0053,0.9998,416
IT Infrastructure & Networks,Research & Academia,0,0.0047,0.9949,12
Sales & Business Development,Legal & Compliance,1e-04,0.0049,0.9914,99
Legal & Compliance,Customer Service & Support,1e-04,0.0128,0.9888,47
Supply Chain & Logistics,Construction & Architecture,0.0018,0.0237,0.9882,1478
Human Resources & Recruitment,Public Sector & Administration,7e-04,0.0297,0.9877,598
"Creative, Media & Design",Research & Academia,1e-04,0.0046,0.9866,80
ICT Management & Consulting,Sales & Business Development,2e-04,0.0279,0.9834,182
Software & IT Development,"Environment, Safety & Sustainability",2e-04,0.0162,0.9775,136
Software & IT Development,Construction & Architecture,2e-04,0.0234,0.9772,197
Customer Service & Support,Human Resources & Recruitment,3e-04,0.0261,0.9743,266
Data Science & Analytics,Legal & Compliance,0,0.0048,0.9727,7
Software & IT Development,Senior Management & C-Suite,0,6e-04,0.9708,5
"Creative, Media & Design",Project & Programme Management,4e-04,0.0171,0.9706,295
"Creative, Media & Design",ICT Management & Consulting,2e-04,0.0084,0.9678,144
Social Work & Community Services,"Creative, Media & Design",1e-04,0.0174,0.964,97
Human Resources & Recruitment,Engineering & Manufacturing,0.0022,0.0891,0.9626,1792
Legal & Compliance,Operations & General Management,0.0013,0.2928,0.9612,1075
Software & IT Development,"Banking, Finance & Insurance",1e-04,0.009,0.9606,76
Public Sector & Administration,Project & Programme Management,5e-04,0.0169,0.9598,415
Operations & General Management,Legal & Compliance,0.0014,0.0047,0.9572,1182
IT Infrastructure & Networks,Finance & Accounting,1e-04,0.0219,0.957,56
"Creative, Media & Design","Retail, Hospitality & Events",0.0021,0.0985,0.9566,1696
Engineering & Manufacturing,Software & IT Development,0.001,0.0104,0.9547,825
ICT Management & Consulting,Social Work & Community Services,1e-04,0.007,0.95,46
Data Science & Analytics,"Environment, Safety & Sustainability",0,0.0157,0.9493,23
"Creative, Media & Design",Senior Management & C-Suite,0,6e-04,0.9491,10
"Environment, Safety & Sustainability",ICT Management & Consulting,1e-04,0.0082,0.9489,106
Project & Programme Management,Legal & Compliance,1e-04,0.0047,0.9468,60
Human Resources & Recruitment,Cybersecurity & Compliance,1e-04,0.005,0.9451,100
Data Science & Analytics,Human Resources & Recruitment,0,0.0253,0.9438,37
Senior Management & C-Suite,Cybersecurity & Compliance,0,0.005,0.9433,2
Legal & Compliance,Sales & Business Development,1e-04,0.0267,0.9414,98
Customer Service & Support,"Retail, Hospitality & Events",0.0012,0.0965,0.9372,985
Cybersecurity & Compliance,Public Sector & Administration,1e-04,0.0282,0.9363,111
Construction & Architecture,Software & IT Development,2e-04,0.0102,0.9363,204
Finance & Accounting,Senior Management & C-Suite,0,6e-04,0.9346,10
Project & Programme Management,"Creative, Media & Design",3e-04,0.0169,0.9342,218
Legal & Compliance,Cybersecurity & Compliance,0,0.0049,0.9317,18
Cybersecurity & Compliance,Software & IT Development,0,0.0102,0.9295,40
Marketing & Communications,IT Infrastructure & Networks,1e-04,0.0031,0.927,42
Cybersecurity & Compliance,Education - Teaching,4e-04,0.0917,0.9214,361
Operations & General Management,Supply Chain & Logistics,0.0224,0.0727,0.9178,18272
"Creative, Media & Design","Environment, Safety & Sustainability",3e-04,0.0152,0.917,261
"Retail, Hospitality & Events","Creative, Media & Design",0.0019,0.0165,0.9149,1539
Project & Programme Management,Engineering & Manufacturing,0.0013,0.0843,0.9102,1087
IT Infrastructure & Networks,Public Sector & Administration,1e-04,0.0273,0.9083,70
Senior Management & C-Suite,Software & IT Development,0,0.0099,0.9083,4
Data Science & Analytics,Cybersecurity & Compliance,0,0.0048,0.9082,7
Cybersecurity & Compliance,Engineering & Manufacturing,4e-04,0.0841,0.908,331
"Environment, Safety & Sustainability","Creative, Media & Design",3e-04,0.0164,0.9071,212
Supply Chain & Logistics,Operations & General Management,0.0211,0.2763,0.9071,17244
Software & IT Development,Engineering & Manufacturing,9e-04,0.0837,0.904,704
Engineering & Manufacturing,Human Resources & Recruitment,0.0023,0.0241,0.9007,1906
Operations & General Management,"Banking, Finance & Insurance",0.0026,0.0085,0.8997,2127
IT Infrastructure & Networks,Sales & Business Development,1e-04,0.0254,0.8956,65
Healthcare - Clinical,Education - Teaching,5e-04,0.0888,0.8931,427
"Retail, Hospitality & Events",Healthcare - Clinical,6e-04,0.0056,0.8924,521
Operations & General Management,Project & Programme Management,0.0048,0.0157,0.8903,3952
"Creative, Media & Design",Healthcare - Nursing & Allied,8e-04,0.0377,0.889,648
Education - Teaching,Healthcare - Clinical,5e-04,0.0056,0.8881,445
Human Resources & Recruitment,Healthcare - Clinical,1e-04,0.0056,0.8872,112
"Retail, Hospitality & Events",Sales & Business Development,0.0029,0.0251,0.8845,2332
Project & Programme Management,Human Resources & Recruitment,4e-04,0.0236,0.8835,305
Project & Programme Management,Operations & General Management,0.0042,0.2685,0.8816,3464
Operations & General Management,Healthcare - Clinical,0.0017,0.0055,0.8809,1390
ICT Management & Consulting,Public Sector & Administration,2e-04,0.0265,0.8803,173
Healthcare - Clinical,Operations & General Management,0.0016,0.2672,0.8772,1284
IT Infrastructure & Networks,Marketing & Communications,0,0.0156,0.8672,40
Human Resources & Recruitment,Research & Academia,1e-04,0.0041,0.8654,82
Human Resources & Recruitment,Software & IT Development,2e-04,0.0094,0.86,189
Finance & Accounting,IT Infrastructure & Networks,1e-04,0.0029,0.8587,50
"Banking, Finance & Insurance",Operations & General Management,0.0024,0.2615,0.8586,1954
Supply Chain & Logistics,Data Science & Analytics,1e-04,0.0017,0.8572,109
Sales & Business Development,IT Infrastructure & Networks,1e-04,0.0029,0.8564,58
Operations & General Management,Marketing & Communications,0.0047,0.0154,0.8564,3879
Research & Academia,Human Resources & Recruitment,1e-04,0.0227,0.8491,88
Public Sector & Administration,IT Infrastructure & Networks,1e-04,0.0028,0.8459,69
Human Resources & Recruitment,Project & Programme Management,4e-04,0.0149,0.8447,300
Senior Management & C-Suite,"Retail, Hospitality & Events",0,0.0868,0.8431,35
Public Sector & Administration,Healthcare - Clinical,2e-04,0.0052,0.8328,128
Healthcare - Clinical,Cybersecurity & Compliance,0,0.0044,0.8305,21
Human Resources & Recruitment,Data Science & Analytics,0,0.0017,0.8298,34
"Environment, Safety & Sustainability",Software & IT Development,1e-04,0.0091,0.8287,117
Human Resources & Recruitment,"Environment, Safety & Sustainability",3e-04,0.0137,0.8269,275
Public Sector & Administration,Cybersecurity & Compliance,1e-04,0.0043,0.8151,105
Cybersecurity & Compliance,"Creative, Media & Design",1e-04,0.0147,0.8143,58
Cybersecurity & Compliance,Healthcare - Clinical,0,0.0051,0.8091,20
Marketing & Communications,Operations & General Management,0.0041,0.2462,0.8083,3348
Operations & General Management,Finance & Accounting,0.0057,0.0185,0.8082,4644
Customer Service & Support,Project & Programme Management,2e-04,0.0142,0.8048,145
Cybersecurity & Compliance,Healthcare - Nursing & Allied,2e-04,0.034,0.8034,134
Operations & General Management,Cybersecurity & Compliance,0.0013,0.0042,0.7977,1055
IT Infrastructure & Networks,Legal & Compliance,0,0.0039,0.7952,10
Legal & Compliance,Supply Chain & Logistics,3e-04,0.0629,0.7944,231
"Retail, Hospitality & Events",Public Sector & Administration,0.0027,0.0239,0.7943,2224
Healthcare - Clinical,"Retail, Hospitality & Events",5e-04,0.0816,0.7918,392
Operations & General Management,Human Resources & Recruitment,0.0065,0.0211,0.7888,5306
Cybersecurity & Compliance,Customer Service & Support,0,0.0102,0.7847,40
Operations & General Management,"Environment, Safety & Sustainability",0.004,0.013,0.7839,3259
Supply Chain & Logistics,Public Sector & Administration,0.0018,0.0236,0.7824,1470
Public Sector & Administration,Supply Chain & Logistics,0.0019,0.0618,0.7803,1513
"Environment, Safety & Sustainability",Supply Chain & Logistics,0.001,0.0615,0.776,794
